,WD,basin,sampling_point,sampling_date,BOD,chla,COD,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
1135,5회차 상층부,한강,Paldang4,20211129,0.7,5.1,2.7,12.5,200,1.3,8.8,1.5,1.7,Paldangdam,1_11_20211128T022031_20211128T022033_T52SCG.tif,20211128,처_음,11.44444444,86.88888889,125.2222222,41.44444444,1.555555556,0,1,1,0,0.444444444,11.88888889,23.55555556,0
1139,2회차,한강,Paldang5,20211213,1.8,13.9,4.4,13.2,302,7.6,5.1,2.7,1.2,Paldangdam,1_11_20211213T022059_20211213T022101_T52SCG.tif,20211213,처_음,3,179,323,148.8888889,118.5555556,8,21,8.444444444,1.555555556,4,20.66666667,13.55555556,1
1140,2회차 상층부,한강,Paldang1,20211213,0.5,0.7,2.8,13.2,308,1.3,6.3,1.7,3,Paldangdam,1_11_20211213T022059_20211213T022101_T52SCG.tif,20211213,처_음,1.111111111,86.55555556,107.5555556,1,1,1,1,1,0,2.888888889,34.22222222,42,1
1141,2회차 상층부,한강,Paldang4,20211213,1.3,11,3.3,12.8,150,2.3,5.8,1.7,3.5,Paldangdam,1_11_20211213T022059_20211213T022101_T52SCG.tif,20211213,처_음,1,30.33333333,43.88888889,1,1,1,1,1,1,2.333333333,10.77777778,7.888888889,1
1142,3회차,한강,Paldang5,20211220,1.6,12,4.1,13.5,348,4,3,2,2,Paldangdam,1_11_20211218T022111_20211218T022113_T52SCG.tif,20211218,처_음,46,166.3333333,293.2222222,138.3333333,103,23.33333333,19,15,6.888888889,0,41.33333333,10,0
1143,3회차 상층부,한강,Paldang1,20211220,0.5,0.9,2.7,13.7,318,1,4.1,1.5,3.9,Paldangdam,1_11_20211218T022111_20211218T022113_T52SCG.tif,20211218,처_음,40.55555556,94.33333333,185.6666667,54.66666667,13.11111111,0,1.666666667,2.222222222,4.888888889,2.222222222,50.33333333,66.88888889,0
1144,3회차 상층부,한강,Paldang4,20211220,1.3,11.6,3.6,12.9,138,1.9,4.8,1.8,4.6,Paldangdam,1_11_20211218T022111_20211218T022113_T52SCG.tif,20211218,처_음,1.666666667,47.22222222,84.22222222,7,3.111111111,1,1,0.888888889,0.333333333,1.555555556,23.77777778,38.22222222,0
1176,1회차 상층부,한강,Paldang1,20220307,1.6,23.6,4.2,13.2,311,4.9,7.7,2.5,,Paldangdam,1_11_20220308T021611_20220308T022233_T52SCG.tif,20220308,처_음,799.7777778,735.5555556,792.8888889,655.1111111,670.6666667,622.3333333,627.2222222,634.4444444,605,512.7777778,349.4444444,235.4444444,1
1177,1회차 상층부,한강,Paldang4,20220307,0.9,4,2.6,13.7,109,1.7,4.9,1.5,9.2,Paldangdam,1_11_20220308T021611_20220308T022233_T52SCG.tif,20220308,처_음,665.4444444,618.7777778,609,459.3333333,438.4444444,416,400.7777778,391.7777778,373.4444444,325.4444444,217.7777778,143.7777778,1
1184,4회차,한강,Paldang5,20220328,1.6,17.3,5,10.7,376,14,10.6,3.5,0.7,Paldangdam,1_11_20220328T021611_20220328T022231_T52SCG.tif,20220328,처_음,266,334.8888889,508.5555556,342.3333333,330.3333333,137.8888889,149.1111111,141.2222222,124.1111111,87,84.44444444,37.66666667,0
1185,4회차 상층부,한강,Paldang1,20220328,2.7,36.6,5.5,12.2,287,12.2,11.3,2.7,0.6,Paldangdam,1_11_20220328T021611_20220328T022231_T52SCG.tif,20220328,처_음,214.3333333,243.1111111,430,266.3333333,277.3333333,122.1111111,127.6666667,133.8888889,104.3333333,104.1111111,110.5555556,93,0
1186,4회차 상층부,한강,Paldang4,20220328,0.8,6.7,3,11.8,116,3.2,8.5,1.6,1.7,Paldangdam,1_11_20220328T021611_20220328T022231_T52SCG.tif,20220328,처_음,184.2222222,227.8888889,326.2222222,156.3333333,124,67.55555556,79.33333333,73.44444444,70.66666667,64.33333333,72.44444444,47.44444444,0
1187,1회차,한강,Paldang5,20220404,3.3,42,5.5,13.6,304,10,13,3,0.7,Paldangdam,1_11_20220402T021559_20220402T021559_T52SCG.tif,20220402,처_음,344,427.7777778,544.2222222,373.5555556,400.1111111,218.1111111,214.6666667,206,166.7777778,119,122.4444444,52.44444444,1
1188,1회차 상층부,한강,Paldang1,20220404,2.8,35.1,4.9,14.4,256,9.9,13,3.3,1.4,Paldangdam,1_11_20220402T021559_20220402T021559_T52SCG.tif,20220402,처_음,217.4444444,268.5555556,363.4444444,204.4444444,214.5555556,108.8888889,112.4444444,114.6666667,110.8888889,94.11111111,114.6666667,82.88888889,1
1189,1회차 상층부,한강,Paldang4,20220404,1.1,6.9,3.1,12.4,121,2.7,11.4,1.7,2.8,Paldangdam,1_11_20220402T021559_20220402T021559_T52SCG.tif,20220402,처_음,284.1111111,340.7777778,357.7777778,204.6666667,178.1111111,138.4444444,146.8888889,144.8888889,128.7777778,103,99.55555556,70.66666667,1
1193,3회차,한강,Paldang5,20220418,4.4,53.1,6,12.8,318,10.2,16.2,3,0.8,Paldangdam,1_11_20220417T021611_20220417T022233_T52SCG.tif,20220417,처_음,404,399.8888889,537.4444444,364.1111111,385.2222222,225.7777778,234.4444444,227.2222222,208.7777778,156,162.4444444,104.8888889,0
1194,3회차 상층부,한강,Paldang1,20220418,2.3,26.4,4.4,12.9,283,6.8,15.9,2.8,1.4,Paldangdam,1_11_20220417T021611_20220417T022233_T52SCG.tif,20220417,처_음,241.5555556,239.3333333,352.7777778,190.2222222,178.4444444,71.66666667,73.55555556,95.88888889,87.55555556,73.22222222,109.5555556,95.22222222,0
1195,3회차 상층부,한강,Paldang4,20220418,2.1,15.9,4.1,11.8,256,5.4,14.8,2.2,2.2,Paldangdam,1_11_20220417T021611_20220417T022233_T52SCG.tif,20220417,처_음,309.2222222,308.3333333,397.4444444,214.4444444,184.6666667,129,122.7777778,122.2222222,121,78.88888889,103.2222222,72,0
1196,4회차,한강,Paldang5,20220425,4,20.9,5.3,12.4,293,6.3,18.2,2.9,1.1,Paldangdam,1_11_20220427T021611_20220427T022234_T52SCG.tif,20220427,처_음,252,316.6666667,478.6666667,359.7777778,418.4444444,427.1111111,456.6666667,480,464.4444444,492,318.8888889,200,0
1197,4회차 상층부,한강,Paldang1,20220425,2.3,14.6,4.2,13,283,5.1,17.8,2.5,1.2,Paldangdam,1_11_20220427T021611_20220427T022234_T52SCG.tif,20220427,처_음,218.8888889,268.6666667,430.5555556,306.1111111,361.8888889,404.3333333,439.2222222,489.5555556,463.7777778,498.3333333,378.4444444,262.6666667,0
1198,4회차 상층부,한강,Paldang4,20220425,1.8,11.6,3.9,11.7,192,3.1,16.5,2.5,2,Paldangdam,1_11_20220427T021611_20220427T022234_T52SCG.tif,20220427,처_음,211.6666667,259,397.6666667,271.1111111,305.3333333,365.8888889,406,423.8888889,421,443.3333333,322.7777778,217.5555556,0
1217,2회차,한강,Paldang5,20220613,1.7,17.4,5.7,11,371,3,25.3,3.7,2,Paldangdam,1_11_20220611T021539_20220611T022211_T52SCG.tif,20220611,처_음,278,278.8888889,327.3333333,186.3333333,181.6666667,64.88888889,65.22222222,39.22222222,77,297,197.1111111,161.6666667,1
1218,2회차 상층부,한강,Paldang1,20220613,2.4,29.4,4.4,11.8,279,3.4,23.6,2.4,1.8,Paldangdam,1_11_20220611T021539_20220611T022211_T52SCG.tif,20220611,처_음,179.5555556,201.4444444,211.5555556,107.4444444,99.44444444,44.33333333,54.33333333,30.55555556,54.33333333,46.22222222,86.33333333,69.44444444,1
1219,2회차 상층부,한강,Paldang4,20220613,2.4,21.3,4.8,11.8,216,4.1,23.3,2.7,2.8,Paldangdam,1_11_20220611T021539_20220611T022211_T52SCG.tif,20220611,처_음,300.4444444,339.5555556,378.2222222,233,224.5555556,164,172.6666667,140.8888889,152.3333333,180.5555556,187.7777778,164.7777778,1
1235,4회차,한강,Paldang5,20220725,3.2,50.6,5.8,13.7,271,10.7,27.7,4,2.1,Paldangdam,1_11_20220726T021541_20220726T022207_T52SCG.tif,20220726,처_음,1055,898.7777778,953.2222222,717.1111111,952.7777778,1150,1160.222222,1041.111111,1171.444444,2660,816.2222222,544.4444444,1
1236,4회차 상층부,한강,Paldang1,20220725,0.8,5.6,3.9,8.8,201,5,25.3,2.7,1,Paldangdam,1_11_20220726T021541_20220726T022207_T52SCG.tif,20220726,처_음,830.5555556,867.2222222,994.7777778,719.8888889,687.5555556,528.5555556,536.4444444,548,535.7777778,1881.333333,466.3333333,390.6666667,1
1237,4회차 상층부,한강,Paldang4,20220725,2.2,20.7,4.3,10.2,102,7,26.2,3.5,1.2,Paldangdam,1_11_20220726T021541_20220726T022207_T52SCG.tif,20220726,처_음,795.3333333,782.3333333,811.1111111,604.6666667,632.5555556,425.8888889,408.3333333,429.5555556,398.8888889,1910.333333,442.6666667,375.6666667,1
1247,4회차,한강,Paldang5,20220822,3.2,61.1,5,8.3,222,7.4,26,2.9,1.5,Paldangdam,1_11_20220820T021539_20220820T022210_T52SCG.tif,20220820,처_음,644,817.1111111,1208,1212.666667,1186.555556,476.1111111,525.1111111,411,303,176,104,69.88888889,1
1248,4회차 상층부,한강,Paldang1,20220822,0.4,3.3,3.9,9.4,169,17.5,22.2,2.9,0.6,Paldangdam,1_11_20220820T021539_20220820T022210_T52SCG.tif,20220820,처_음,616,776.2222222,1059.111111,1159.555556,1147,589.2222222,633.5555556,502,421.5555556,210,138,93.33333333,1
1249,4회차 상층부,한강,Paldang4,20220822,1,15.1,3.2,10.1,92,4.1,23.7,2.1,1.7,Paldangdam,1_11_20220820T021539_20220820T022210_T52SCG.tif,20220820,처_음,425.6666667,561.8888889,750.7777778,430.1111111,331.8888889,121,121.1111111,99.88888889,88.44444444,103.5555556,90.77777778,68.22222222,1
1256,4회차 상층부,한강,Paldang1,20220926,2.5,30.8,4.8,13.2,268,4.9,21.9,2.4,1.7,Paldangdam,1_11_20220924T021541_20220924T022204_T52SCG.tif,20220924,처_음,157.5555556,167.3333333,269.7777778,139.7777778,139.5555556,102.7777778,122.1111111,115,104.8888889,78.11111111,91,60,1
1260,4회차 상층부,한강,Paldang4,20220926,1,13.4,3.5,10.9,140,3.2,20.8,2.2,1.7,Paldangdam,1_11_20220924T021541_20220924T022204_T52SCG.tif,20220924,처_음,293.4444444,482.3333333,571.6666667,454.1111111,440.2222222,482.6666667,478.7777778,694.5555556,481.8888889,457.1111111,464.6666667,317.4444444,1
1264,4회차,한강,Paldang5,20220926,2.2,22.6,5,9.6,333,10.2,21.2,2.6,0.9,Paldangdam,1_11_20220924T021541_20220924T022204_T52SCG.tif,20220924,처_음,241,309.1111111,481,326.6666667,341.3333333,165.4444444,185.8888889,168.6666667,149.8888889,136,94.55555556,59,1
1267,3회차 상층부,한강,Paldang1,20221017,0.6,4.9,3.1,10.9,240,3.8,17.6,2.5,2.2,Paldangdam,1_11_20221019T021709_20221019T022253_T52SCG.tif,20221019,처_음,89.33333333,166.3333333,255.5555556,105.5555556,80.77777778,22.66666667,31.77777778,27.44444444,22.66666667,16.88888889,40.88888889,34,0
1269,5회차 상층부,한강,Paldang1,20221031,0.8,4.7,3.1,12.3,265,1.4,15.4,2.1,2.8,Paldangdam,1_11_20221029T021809_20221029T022341_T52SCG.tif,20221029,처_음,135.2222222,223.7777778,270.5555556,120.5555556,111,57.88888889,77.44444444,83.11111111,89.66666667,47.88888889,84.88888889,48,1
1272,3회차 상층부,한강,Paldang4,20221017,0.9,16.3,3.2,10.4,87,5.3,17,2.7,1.8,Paldangdam,1_11_20221019T021709_20221019T022253_T52SCG.tif,20221019,처_음,72.55555556,186.6666667,303.5555556,129,109.5555556,17.22222222,25,13.55555556,0.222222222,0,25,17.11111111,0
1274,5회차 상층부,한강,Paldang4,20221031,0.8,13.2,3.2,11,94,4.4,15,2,1.9,Paldangdam,1_11_20221029T021809_20221029T022341_T52SCG.tif,20221029,처_음,135.2222222,235.6666667,320.2222222,159.1111111,136.8888889,68.88888889,84.11111111,73.33333333,60.44444444,26.88888889,51.33333333,36.88888889,1
1277,3회차,한강,Paldang5,20221017,3.5,34.1,4.8,10.5,270,16.7,18.2,3.6,0.7,Paldangdam,1_11_20221019T021709_20221019T022253_T52SCG.tif,20221019,처_음,122,250.3333333,392.1111111,289.5555556,249.1111111,69.33333333,90.55555556,69.55555556,43.66666667,16,34.66666667,12,0
1279,5회차,한강,Paldang5,20221031,2.4,24.3,4.3,11.8,276,5.5,15.5,2.6,1.4,Paldangdam,1_11_20221029T021809_20221029T022341_T52SCG.tif,20221029,처_음,215,329.5555556,466.3333333,341,357.7777778,146.3333333,150.2222222,147.2222222,106.5555556,79,55.22222222,21.88888889,1
1298,3회차 상층부,한강,Paldang4,20221219,0.5,2,2.5,12.9,132,1.2,2.5,1.7,4,Paldangdam,1_11_20221218T022109_20221218T022111_T52SCG.tif,20221218,처_음,88.33333333,220.4444444,227.4444444,114.4444444,82.77777778,58.33333333,73.55555556,62.44444444,56.66666667,38.77777778,38.88888889,36.88888889,1
1322,4회차상층부,한강,Paldang1,20230227,3.4,46.9,6,15.8,322,9.4,6.9,3.3,,Paldangdam,1_11_20230226T021649_20230226T022359_T52SCG.tif,20230226,처_음,184.2222222,233.8888889,312.4444444,180.2222222,191,106.7777778,115.3333333,111.3333333,98.66666667,80.77777778,96.44444444,74.66666667,1
1326,4회차상층부,한강,Paldang4,20230227,0.7,4.9,2.8,14.1,113,1.7,4.6,1.5,3.6,Paldangdam,1_11_20230226T021649_20230226T022359_T52SCG.tif,20230226,처_음,194.5555556,268,284.3333333,145.6666667,119.2222222,105.4444444,101.8888889,103.6666667,87.11111111,75.88888889,73.77777778,64.44444444,1
1332,2회차상층부,한강,Paldang1,20230313,3.2,44.7,5.3,13.6,313,11.5,9.4,3.2,0.9,Paldangdam,1_11_20230313T021531_20230313T022154_T52SCG.tif,20230313,처_음,221.2222222,231.5555556,384.6666667,250.1111111,282.3333333,185.6666667,188.1111111,198.3333333,191.2222222,184.7777778,209.2222222,190.6666667,0
1336,2회차상층부,한강,Paldang4,20230313,1,6.9,2.8,12.9,144,3.5,6.9,2,2.1,Paldangdam,1_11_20230313T021531_20230313T022154_T52SCG.tif,20230313,처_음,133.8888889,180.7777778,262.7777778,142.7777778,120.6666667,91.44444444,101,100.7777778,95.55555556,67.44444444,119.6666667,99.66666667,0
1340,2회차,한강,Paldang5,20230313,1.9,18.5,5,11.7,316,14.2,8.3,3.2,0.7,Paldangdam,1_11_20230313T021531_20230313T022154_T52SCG.tif,20230313,처_음,277,327.8888889,494,391.6666667,376.8888889,217.4444444,223.4444444,222.5555556,208.6666667,183,183.1111111,156.6666667,0
1343,1회차상층부,한강,Paldang1,20230403,2.3,19.5,4.6,13.2,300,5.3,15.1,2.7,1.9,Paldangdam,1_11_20230402T021531_20230402T022156_T52SCG.tif,20230402,처_음,192.2222222,176,314.8888889,134.5555556,117.2222222,34.11111111,25,28.22222222,25.88888889,2,65.77777778,61.33333333,0
1347,1회차상층부,한강,Paldang4,20230403,1.4,6.7,3.6,11.8,170,3.3,14.5,2.2,1.8,Paldangdam,1_11_20230402T021531_20230402T022156_T52SCG.tif,20230402,처_음,190.2222222,201.3333333,297.7777778,116,73,28.55555556,32.22222222,36.11111111,40.11111111,11.44444444,64.11111111,70.77777778,0
1351,1회차,한강,Paldang5,20230403,3.3,33.1,6.4,12.1,405,7.6,15.5,3.8,0.8,Paldangdam,1_11_20230402T021531_20230402T022156_T52SCG.tif,20230402,처_음,230,241.3333333,374.1111111,231.1111111,230.3333333,100.3333333,107.2222222,97.33333333,87.66666667,40,82,59.11111111,0
1382,1회차상층부,한강,Paldang1,20230703,0.6,5.3,4.4,8.9,215,6,21.7,2.6,0.8,Paldangdam,1_11_20230701T021541_20230701T022343_T52SCG.tif,20230701,처_음,684.1111111,754.5555556,1133.777778,1017.111111,867,332.2222222,335.7777778,265.8888889,209.6666667,197.1111111,145,98.33333333,0
1387,1회차상층부,한강,Paldang4,20230703,1.6,14.3,4,9.2,98,6.4,23.5,2.5,1,Paldangdam,1_11_20230701T021541_20230701T022343_T52SCG.tif,20230701,처_음,385.8888889,420.6666667,581.8888889,346,268.6666667,72.11111111,67.77777778,43.88888889,40,29.11111111,72.44444444,54,0
1392,1회차,한강,Paldang5,20230703,3.6,93.1,6.4,11.3,248,10.8,26.5,4,1.4,Paldangdam,1_11_20230701T021541_20230701T022343_T52SCG.tif,20230701,처_음,680,742.6666667,1199.111111,996.5555556,1073.222222,479.2222222,539,398.6666667,337.4444444,386,160.8888889,85.88888889,0
1397,1회차상층부,한강,Paldang1,20230807,2.4,16.4,4.7,11,230,5.1,31.2,2.9,1.4,Paldangdam,1_11_20230805T021539_20230805T022202_T52SCG.tif,20230805,처_음,226.4444444,252.7777778,292.2222222,122,115.4444444,13.55555556,23.22222222,1,9.555555556,0,49.44444444,26.22222222,1
1401,1회차상층부,한강,Paldang4,20230807,1.1,5.5,3.7,9.2,155,2,30.6,2.5,2.8,Paldangdam,1_11_20230805T021539_20230805T022202_T52SCG.tif,20230805,처_음,317.7777778,351.7777778,371.7777778,178.8888889,157.5555556,91.55555556,89.55555556,68.22222222,64.22222222,7.555555556,68.55555556,47.66666667,1
1405,1회차,한강,Paldang5,20230807,1.4,20.3,5.5,10.5,299,4.7,31.7,3.7,1.2,Paldangdam,1_11_20230805T021539_20230805T022202_T52SCG.tif,20230805,처_음,437,414.1111111,479.3333333,251.3333333,318.4444444,397.1111111,424.4444444,265,365,541,257.4444444,131.2222222,1
1410,2회차상층부,한강,Paldang1,20230911,2.1,41.5,5.8,13.4,226,6.2,27.9,3.4,1.3,Paldangdam,1_11_20230909T021541_20230909T022102_T52SCG.tif,20230909,처_음,169.4444444,147.2222222,256.1111111,127.4444444,148.2222222,111.7777778,110,116.8888889,121.8888889,104.2222222,93.66666667,58.33333333,1
1412,4회차상층부,한강,Paldang1,20230925,0.3,1.5,2.7,9.6,199,2.9,21.5,1.9,1.4,Paldangdam,1_11_20230924T021539_20230924T022642_T52SCG.tif,20230924,처_음,193.7777778,312.1111111,459.7777778,279.6666667,193.6666667,88.33333333,112.3333333,98.66666667,103,91.11111111,72.55555556,42.55555556,0
1414,2회차상층부,한강,Paldang4,20230911,2.3,29.3,4.1,11.3,110,2.8,26.6,2.1,2,Paldangdam,1_11_20230909T021541_20230909T022102_T52SCG.tif,20230909,처_음,192.6666667,186.1111111,263.7777778,131.2222222,137,90.44444444,100.7777778,88,91.33333333,44.77777778,71.88888889,46.22222222,1
1416,4회차상층부,한강,Paldang4,20230925,0.9,12,3.3,8.9,122,2.3,22.2,1.9,1.5,Paldangdam,1_11_20230924T021539_20230924T022642_T52SCG.tif,20230924,처_음,180.7777778,287.1111111,376.7777778,194.8888889,152.8888889,87.55555556,99,91.66666667,74.88888889,68.88888889,67.44444444,53.55555556,0
1418,2회차,한강,Paldang5,20230911,2.1,36.5,5,11.1,322,7.1,27.2,3,1.4,Paldangdam,1_11_20230909T021541_20230909T022102_T52SCG.tif,20230909,처_음,259,253.3333333,379.3333333,202,232.7777778,206,212.3333333,198,227,463,146.3333333,76.44444444,1
1420,4회차,한강,Paldang5,20230925,3.1,75.8,5.3,10.8,246,9.2,22.1,3.2,0.9,Paldangdam,1_11_20230924T021539_20230924T022642_T52SCG.tif,20230924,처_음,166,252.2222222,390,206.2222222,281.7777778,172.1111111,182.4444444,170,168,273,81,46.66666667,0
1425,5회차상층부,한강,Paldang1,20231030,1,5.3,3.1,9.7,274,2.2,16.9,1.9,1.8,Paldangdam,1_11_20231029T021811_20231029T022436_T52SCG.tif,20231029,처_음,232.7777778,269.2222222,366.7777778,201.2222222,175.8888889,144.6666667,156.4444444,141.8888889,135.3333333,85.11111111,94.66666667,59.55555556,0
1430,5회차상층부,한강,Paldang4,20231030,0.6,5.1,2.9,9.5,163,1.9,16.3,1.8,1.9,Paldangdam,1_11_20231029T021811_20231029T022436_T52SCG.tif,20231029,처_음,173.2222222,216.6666667,261.8888889,146.3333333,132.8888889,87.44444444,101.2222222,86.88888889,86.88888889,42,56,38.88888889,0
1435,5회차,한강,Paldang5,20231030,2.1,25.2,4.3,10.2,312,6,16.2,2.3,1,Paldangdam,1_11_20231029T021811_20231029T022436_T52SCG.tif,20231029,처_음,218,292.5555556,406.3333333,288.7777778,275.8888889,141.4444444,139.3333333,127,113.1111111,34,56.77777778,28.11111111,0
1437,2회차상층부,한강,Paldang1,20231113,0.6,2.6,3.2,10.7,257,2.8,11,2.2,2.1,Paldangdam,1_11_20231113T021929_20231113T022557_T52SCG.tif,20231113,처_음,101.6666667,221.7777778,322.5555556,144.6666667,85.55555556,28.44444444,42.44444444,32.88888889,43,11,67.44444444,49.88888889,0
1438,3회차상층부,한강,Paldang1,20231120,0.6,3.1,3.3,11.9,301,1.8,7.9,1.8,2.4,Paldangdam,1_11_20231118T021951_20231118T022228_T52SCG.tif,20231118,처_음,221.8888889,237.1111111,325.8888889,174,148.1111111,112.7777778,122.2222222,109.4444444,109.7777778,79.44444444,96,63,0
1441,2회차상층부,한강,Paldang4,20231113,1.1,9.3,2.9,10,131,2.3,12.6,1.7,2.5,Paldangdam,1_11_20231113T021929_20231113T022557_T52SCG.tif,20231113,처_음,106.7777778,231.7777778,277.2222222,128.8888889,109.5555556,64.55555556,81.66666667,59.44444444,47.66666667,19.88888889,43.66666667,30.77777778,0
1442,3회차상층부,한강,Paldang4,20231120,0.7,4.7,3.2,10.4,117,2.2,10.3,1.9,2.4,Paldangdam,1_11_20231118T021951_20231118T022228_T52SCG.tif,20231118,처_음,230,282.3333333,343.7777778,197.1111111,166.7777778,122.3333333,110,117.4444444,93.22222222,59.33333333,50.33333333,41,0
1445,2회차,한강,Paldang5,20231113,1.3,9.6,3.9,10,241,8,9.7,2.4,0.9,Paldangdam,1_11_20231113T021929_20231113T022557_T52SCG.tif,20231113,처_음,231,430.5555556,632.7777778,427.7777778,325.3333333,120.3333333,110.4444444,115.2222222,70.33333333,29,34,22.88888889,0
1446,3회차,한강,Paldang5,20231120,1.6,13.6,4,11.2,270,4.2,7.7,2.4,1.4,Paldangdam,1_11_20231118T021951_20231118T022228_T52SCG.tif,20231118,처_음,313,374.6666667,513.5555556,330.7777778,290,166.6666667,155.5555556,153.7777778,137.1111111,84,67.88888889,47.44444444,0
1448,1회차상층부,한강,Paldang1,20231204,0.6,2.9,2.9,13.6,329,1.1,4.4,1.9,3.2,Paldangdam,1_11_20231203T022049_20231203T022043_T52SCG.tif,20231203,처_음,154.3333333,235.3333333,269.8888889,125.7777778,111.7777778,72.33333333,83.44444444,78,66.44444444,46.44444444,72.66666667,53.22222222,0
1452,1회차상층부,한강,Paldang4,20231204,1.1,7.1,2.7,12.1,122,1.9,6.2,1.9,2.7,Paldangdam,1_11_20231203T022049_20231203T022043_T52SCG.tif,20231203,처_음,130.7777778,221.1111111,238.7777778,126.8888889,109.3333333,75.66666667,77.77777778,72.88888889,56.11111111,26.22222222,43.88888889,28.88888889,0
1455,4회차상층부,한강,Paldang4,20231226,0.4,0.9,2.8,11.7,114,1.5,2.2,1.6,2.2,Paldangdam,1_11_20231223T022119_20231223T022116_T52SCG.tif,20231223,처_음,151.8888889,345.1111111,451.1111111,184.8888889,106.2222222,37.55555556,45.11111111,22.44444444,10.44444444,0,22.11111111,20.77777778,0
1456,1회차,한강,Paldang5,20231204,1.6,9.6,3.6,12.7,335,3,3.5,2.3,2.1,Paldangdam,1_11_20231203T022049_20231203T022043_T52SCG.tif,20231203,처_음,172,272.7777778,328,183.7777778,157.1111111,112.5555556,101.5555556,102.8888889,81.77777778,53,62.22222222,21.22222222,0
1524,,,Paldang2,20190325,,17.5,,12.9,,,8.3,,1.2,Paldangdam,1_11_20190324T021601_20190324T022122_T52SCG.tif,20190324,처_음,123.5555556,180.3333333,342,173.2222222,137.3333333,38.11111111,33.88888889,21.22222222,19.22222222,9.777777778,79.77777778,86.11111111,0
1551,,,Paldang2,20190930,,67.3,,10,,,20.7,,1.8,Paldangdam,1_11_20190930T021601_20190930T021604_T52SCG.tif,20190930,처_음,264.8888889,255.7777778,331,183.5555556,183.5555556,129.2222222,127.2222222,122.5555556,124.8888889,102.3333333,51,29.55555556,1
1555,,,Paldang2,20191028,,20.6,,9.6,,,16.2,,1.4,Paldangdam,1_11_20191030T021821_20191030T021819_T52SCG.tif,20191030,처_음,103.4444444,191.3333333,303.7777778,166.3333333,131.8888889,33.55555556,45.22222222,42.88888889,13,0.222222222,42.88888889,38.33333333,1
1557,,,Paldang2,20191111,,13.4,,10.2,,,13.5,,1.7,Paldangdam,1_11_20191109T021901_20191109T021904_T52SCG.tif,20191109,처_음,148,219.3333333,317.3333333,177.8888889,157.8888889,78.33333333,66,60,62.77777778,23,43.44444444,30.88888889,1
1558,,,Paldang2,20191118,,5.8,,10.6,,,10.1,,1.8,Paldangdam,1_11_20191119T022001_20191119T021959_T52SCG.tif,20191119,처_음,133.1111111,241.2222222,366.6666667,209.2222222,150.2222222,82.44444444,78,82.77777778,84.88888889,59.11111111,84.66666667,72.88888889,0
1560,,,Paldang2,20191202,,6.5,,11.5,,,6.9,,2.5,Paldangdam,1_11_20191204T022039_20191204T022042_T52SCG.tif,20191204,처_음,108.4444444,268.1111111,330.3333333,178.4444444,132,72.22222222,78.55555556,67.22222222,62.55555556,41.66666667,66.11111111,54,0
1562,,,Paldang2,20191216,,4.7,,12.6,,,4.5,,3.5,Paldangdam,1_11_20191214T022109_20191214T022103_T52SCG.tif,20191214,처_음,111.2222222,242.1111111,231.2222222,136.2222222,114.2222222,72.66666667,65.77777778,78.77777778,65.77777778,37.33333333,39.22222222,42.11111111,1
1628,,,Paldang3,20190325,,29.9,,13.5,,,8.6,,0.8,Paldangdam,1_11_20190324T021601_20190324T022122_T52SCG.tif,20190324,처_음,128.3333333,166.1111111,353.4444444,176.2222222,175.5555556,41.77777778,41.22222222,36.44444444,20.33333333,4.333333333,89.44444444,94.88888889,0
1655,,,Paldang3,20190930,,43.4,,12.3,,,23.1,,1.3,Paldangdam,1_11_20190930T021601_20190930T021604_T52SCG.tif,20190930,처_음,338.6666667,293,357.1111111,226.8888889,249.3333333,208.3333333,215.1111111,192.6666667,175,138.6666667,82,47.88888889,1
1659,,,Paldang3,20191028,,11.8,,9.8,,,16.2,,1.2,Paldangdam,1_11_20191030T021821_20191030T021819_T52SCG.tif,20191030,처_음,213.6666667,295.1111111,511.7777778,262,183.3333333,67,69.22222222,61.77777778,55.33333333,33.33333333,46.55555556,41.44444444,1
1661,,,Paldang3,20191111,,9.3,,10.4,,,13.3,,2.4,Paldangdam,1_11_20191109T021901_20191109T021904_T52SCG.tif,20191109,처_음,194,218.1111111,319,166.4444444,137.2222222,75.77777778,65.55555556,83.44444444,75,42,62.77777778,50.44444444,1
1662,,,Paldang3,20191118,,0.7,,11,,,9.1,,1,Paldangdam,1_11_20191119T022001_20191119T021959_T52SCG.tif,20191119,처_음,361.3333333,573.2222222,980.7777778,739.5555556,530.3333333,192.6666667,181.2222222,180.2222222,121.5555556,66.33333333,99.88888889,85.66666667,0
1664,,,Paldang3,20191202,,0.9,,11.7,,,7.5,,3,Paldangdam,1_11_20191204T022039_20191204T022042_T52SCG.tif,20191204,처_음,115.6666667,254.4444444,312.6666667,134.6666667,103.2222222,59.11111111,75.55555556,56.33333333,58,45.33333333,76.22222222,61.66666667,0
1666,,,Paldang3,20191216,,1.8,,13.2,,,5.1,,4.5,Paldangdam,1_11_20191214T022109_20191214T022103_T52SCG.tif,20191214,처_음,285,381.6666667,359,210,179.1111111,135.5555556,160,155.8888889,128,97.66666667,82.22222222,68.77777778,1
