,WD,basin,sampling_point,sampling_date,BOD,chla,COD,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
823,3회차,한강,Paldang5,20191216,1.7,14.5,4.2,13.5,286,4.2,3.5,2.3,1.4,Paldangdam,1_11_20191214T022109_20191214T022103_T52SCG.tif,20191214,처_음,114,234.6666667,312.4444444,180.5555556,145.8888889,56.55555556,62.55555556,69,65.66666667,20,42.44444444,29.77777778,1
824,3회차 상층부,한강,Paldang1,20191216,0.7,1.1,2.8,13.8,311,0.7,4.8,1.8,5.4,Paldangdam,1_11_20191214T022109_20191214T022103_T52SCG.tif,20191214,처_음,208.4444444,309.1111111,273.8888889,165.4444444,136.6666667,114.1111111,131.4444444,142.1111111,132.1111111,92,86,61.55555556,1
825,3회차 상층부,한강,Paldang4,20191216,0.6,1.8,3,12.5,179,1.2,4.9,1.6,6,Paldangdam,1_11_20191214T022109_20191214T022103_T52SCG.tif,20191214,처_음,169.2222222,292.1111111,274.5555556,174.4444444,126.5555556,103.5555556,98.33333333,110.1111111,86.33333333,57.11111111,54.55555556,44.77777778,1
838,3회차,한강,Paldang5,20200120,1,6.3,3.3,12.1,280,2.4,2.6,2.1,2.1,Paldangdam,1_11_20200118T022021_20200118T022020_T52SCG.tif,20200118,처_음,282,390.1111111,526.1111111,341.4444444,257.2222222,175.4444444,165,167.4444444,141.3333333,98,84.55555556,59.11111111,0
839,3회차 상층부,한강,Paldang1,20200120,0.7,3.7,3.2,13.2,262,2.2,2.8,1.9,2.2,Paldangdam,1_11_20200118T022021_20200118T022020_T52SCG.tif,20200118,처_음,236.4444444,330.7777778,473.4444444,261.7777778,197.2222222,113,113.7777778,124.8888889,110.7777778,81.44444444,104.5555556,76.44444444,0
840,3회차 상층부,한강,Paldang4,20200120,0.9,11.6,3.3,13.2,143,3.7,2.2,2,1.5,Paldangdam,1_11_20200118T022021_20200118T022020_T52SCG.tif,20200118,처_음,232.4444444,334,452.8888889,274.6666667,225.4444444,139.8888889,129,140.2222222,119.4444444,68.66666667,79.66666667,62.11111111,0
859,2회차,한강,Paldang5,20200309,2.4,27.6,4.6,12.3,331,8.7,8.3,2.9,0.7,Paldangdam,1_11_20200308T021601_20200308T021559_T52SCG.tif,20200308,처_음,341,358.2222222,506.4444444,316,324.3333333,161,163.5555556,154.6666667,124,87,83,49,0
860,2회차 상층부,한강,Paldang1,20200309,1,6.2,3.3,12.5,257,3.7,8.2,2,2.1,Paldangdam,1_11_20200308T021601_20200308T021559_T52SCG.tif,20200308,처_음,328.1111111,355.2222222,486.5555556,257.2222222,222.1111111,140.8888889,125.7777778,125.5555556,123.2222222,106.2222222,124,99.44444444,0
861,2회차 상층부,한강,Paldang4,20200309,1,6.7,2.8,13.2,125,2.3,7,1.6,2.5,Paldangdam,1_11_20200308T021601_20200308T021559_T52SCG.tif,20200308,처_음,239.2222222,250.3333333,285,150.2222222,127.2222222,99.33333333,90.66666667,90.77777778,70.44444444,56.55555556,64,45.33333333,0
862,3회차,한강,Paldang5,20200316,2,24.3,5.1,11,330,16.9,8.4,2.7,0.6,Paldangdam,1_11_20200318T021601_20200318T021559_T52SCG.tif,20200318,처_음,349,390,529.6666667,360,372.7777778,187.1111111,173.3333333,160,122.7777778,79,94.66666667,64.11111111,0
