,Unnamed: 0,year,month,WD,sampling_date,basin,sampling_point,BOD,chla,COD,chro,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,lake_y,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
32,32,2016,4,1회차 상층부,20160405,금강,D3,1.1,3.2,2.9,,11.9,180,0.8,10,1.4,3.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,2016,4,1회차 상층부,20160405,금강,D4,1.8,5.9,3.4,,12.1,193,1.4,12,1.4,2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,2016,4,2회차 상층부,20160411,금강,D1,1.1,1.6,2.8,,11.1,177,1.7,14.7,1.7,2.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,2016,4,3회차 상층부,20160418,금강,D1,0.9,5.5,3.4,,11.4,176,4.1,14,1.8,1.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,2016,4,4회차 상층부,20160425,금강,D1,1.3,2.7,3.4,,11.6,177,1.5,16.8,2.3,2.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,2016,5,1회차 상층부,20160502,금강,D1,1.4,5.3,3.8,,12.4,178,1.8,20.1,2,3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,2016,5,1회차 상층부,20160503,금강,D5,1.8,6.2,3.4,,10.2,163,1.8,17,1.9,1.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,2016,5,1회차 상층부,20160503,금강,D6,2.3,8.7,4.7,,11.3,142,1.8,17,2.2,1.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,2016,5,1회차 상층부,20160503,금강,D2,1.3,4.8,3.5,,10.5,176,1,16,1.6,2.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,2016,5,1회차 상층부,20160503,금강,D3,1.8,6.2,3.6,,10.1,177,1.2,17,1.6,2.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,2016,5,1회차 상층부,20160503,금강,D4,2.4,16.3,3.8,,11.1,146,2,18,1.8,1.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,2016,5,2회차 상층부,20160509,금강,D1,1.3,6.1,3.9,,12.2,176,1.1,20.1,2.2,3.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,2016,5,3회차 상층부,20160516,금강,D1,1,3.9,3.4,,12.2,176,1.2,20.1,2.1,4.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,2016,5,4회차 상층부,20160523,금강,D1,0.7,1.8,3.4,,11.6,180,0.6,23.4,2.5,4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
